编号,标题,模块,类型,状态,草稿,创建日期,更新时间,周次,源分支,目标分支,链接
1,公会助手：身份登录、功能首页与管理后台,登录 / 基础平台,功能开发,草稿,是,2026-08-11,2026-08-11 21:05,2026-08-10 ~ 2026-08-16,cursor/guild-login-system-419b,main,https://github.com/larryliuxing/bigdaddyLIU/pull/1
2,fix: HTTP 登录 Cookie 丢失导致无法进入首页,登录 / 基础平台,缺陷修复,草稿,是,2026-08-12,2026-08-12 04:04,2026-08-10 ~ 2026-08-16,cursor/fix-login-redirect-419b,main,https://github.com/larryliuxing/bigdaddyLIU/pull/2
3,fix: 增强战力截图角色名 OCR 识别,排行榜 / OCR,缺陷修复,草稿,是,2026-08-12,2026-08-12 16:44,2026-08-10 ~ 2026-08-16,cursor/fix-leaderboard-ocr-name-419b,cursor/fix-login-redirect-419b,https://github.com/larryliuxing/bigdaddyLIU/pull/3
4,限制账户与拍卖物品管理仅限管理员后台,成员 / 权限,功能开发,草稿,是,2026-08-12,2026-08-12 17:03,2026-08-10 ~ 2026-08-16,cursor/admin-only-permissions-419b,cursor/fix-leaderboard-ocr-name-419b,https://github.com/larryliuxing/bigdaddyLIU/pull/4
5,修复拍卖场次时间弹回并统一北京时间,拍卖竞价,缺陷修复,草稿,是,2026-08-12,2026-08-12 17:20,2026-08-10 ~ 2026-08-16,cursor/fix-auction-beijing-time-419b,cursor/admin-only-permissions-419b,https://github.com/larryliuxing/bigdaddyLIU/pull/5
6,重构拍卖后台：场次列表与拍品管理流程,拍卖竞价,功能开发,草稿,是,2026-08-12,2026-08-12 17:36,2026-08-10 ~ 2026-08-16,cursor/auction-session-workflow-419b,cursor/fix-auction-beijing-time-419b,https://github.com/larryliuxing/bigdaddyLIU/pull/6
7,拍品图仅识别顶部装备名称,拍卖竞价,功能开发,草稿,是,2026-08-12,2026-08-12 17:56,2026-08-10 ~ 2026-08-16,cursor/auction-item-name-ocr-419b,cursor/auction-session-workflow-419b,https://github.com/larryliuxing/bigdaddyLIU/pull/7
8,拍卖改为全部拍品同时竞拍,拍卖竞价,功能开发,草稿,是,2026-08-12,2026-08-12 18:01,2026-08-10 ~ 2026-08-16,cursor/auction-simultaneous-items-419b,cursor/auction-item-name-ocr-419b,https://github.com/larryliuxing/bigdaddyLIU/pull/8
9,拍卖分红：可调税率、按拍品明细与公示总表,拍卖竞价,功能开发,草稿,是,2026-08-12,2026-08-12 18:42,2026-08-10 ~ 2026-08-16,cursor/auction-dividend-tax-breakdown-419b,cursor/auction-simultaneous-items-419b,https://github.com/larryliuxing/bigdaddyLIU/pull/9
10,fix: improve auction item name OCR accuracy,拍卖竞价,缺陷修复,草稿,是,2026-08-12,2026-08-12 18:57,2026-08-10 ~ 2026-08-16,cursor/auction-item-ocr-accuracy-419b,cursor/auction-dividend-tax-breakdown-419b,https://github.com/larryliuxing/bigdaddyLIU/pull/10
11,feat: show high/low/avg prices when adding auction items,拍卖竞价,功能开发,草稿,是,2026-08-12,2026-08-12 18:58,2026-08-10 ~ 2026-08-16,cursor/auction-add-form-price-stats-419b,cursor/auction-item-ocr-accuracy-419b,https://github.com/larryliuxing/bigdaddyLIU/pull/11
12,"feat: BOSS settings labels, drop images, and admin timers",BOSS 计时,功能开发,草稿,是,2026-08-12,2026-08-12 19:44,2026-08-10 ~ 2026-08-16,cursor/boss-settings-drops-timer-419b,cursor/auction-add-form-price-stats-419b,https://github.com/larryliuxing/bigdaddyLIU/pull/12
13,feat: auction high-bid fanfare music and danmaku,拍卖竞价,功能开发,草稿,是,2026-08-12,2026-08-12 21:26,2026-08-10 ~ 2026-08-16,cursor/auction-bid-fanfare-419b,cursor/boss-settings-drops-timer-419b,https://github.com/larryliuxing/bigdaddyLIU/pull/13
14,feat: add 天堂2盟约 brand title on home,首页 / 品牌,功能开发,草稿,是,2026-08-12,2026-08-12 21:44,2026-08-10 ~ 2026-08-16,cursor/home-brand-title-419b,cursor/auction-bid-fanfare-419b,https://github.com/larryliuxing/bigdaddyLIU/pull/14
15,fix: 成员清退 + 清空成员/拍卖（留 admin 与 BOSS）,成员 / 权限,缺陷修复,草稿,是,2026-08-12,2026-08-12 21:58,2026-08-10 ~ 2026-08-16,cursor/fix-admin-delete-member-419b,cursor/home-brand-title-419b,https://github.com/larryliuxing/bigdaddyLIU/pull/15
16,perf: BOSS 设置页列表加载加速,BOSS 计时,性能优化,草稿,是,2026-08-13,2026-08-13 13:33,2026-08-10 ~ 2026-08-16,cursor/fix-boss-settings-load-419b,cursor/fix-admin-delete-member-419b,https://github.com/larryliuxing/bigdaddyLIU/pull/16
17,fix: BOSS 计时规则（下次刷新 vs 击杀）,BOSS 计时,缺陷修复,草稿,是,2026-08-13,2026-08-13 14:03,2026-08-10 ~ 2026-08-16,cursor/fix-boss-timer-rules-419b,cursor/fix-boss-settings-load-419b,https://github.com/larryliuxing/bigdaddyLIU/pull/17
18,feat: BOSS 倒计时排序、加大名称、投票人数设置,BOSS 计时,功能开发,草稿,是,2026-08-13,2026-08-13 14:33,2026-08-10 ~ 2026-08-16,cursor/boss-countdown-sort-vote-need-419b,cursor/fix-boss-timer-rules-419b,https://github.com/larryliuxing/bigdaddyLIU/pull/18
19,chore: 正式上线清理（删测试、清拍卖、改管理员密码）,上线 / 运维,运维清理,草稿,是,2026-08-17,2026-08-17 07:50,2026-08-17 ~ 2026-08-23,cursor/prod-golive-cleanup-419b,cursor/boss-countdown-sort-vote-need-419b,https://github.com/larryliuxing/bigdaddyLIU/pull/19
20,fix: 排行榜战力只识别左上角（取消双校验）,排行榜 / OCR,缺陷修复,草稿,是,2026-08-21,2026-08-22 01:04,2026-08-17 ~ 2026-08-23,cursor/perf-leaderboard-ocr-419b,cursor/prod-golive-cleanup-419b,https://github.com/larryliuxing/bigdaddyLIU/pull/20
21,fix: 识别角色下方「战斗力」后的数字（更快更准）,排行榜 / OCR,缺陷修复,草稿,是,2026-08-22,2026-08-22 01:32,2026-08-17 ~ 2026-08-23,cursor/fix-power-ocr-topleft-419b,cursor/perf-leaderboard-ocr-419b,https://github.com/larryliuxing/bigdaddyLIU/pull/21
22,feat: 左上战力改用服务端 PP-OCR（准确+速度）,排行榜 / OCR,功能开发,草稿,是,2026-08-22,2026-08-22 01:42,2026-08-17 ~ 2026-08-23,cursor/paddleocr-power-419b,cursor/fix-power-ocr-topleft-419b,https://github.com/larryliuxing/bigdaddyLIU/pull/22
23,feat: 点选战力数字 + 点选名字识别（4–6 位）,排行榜 / OCR,功能开发,草稿,是,2026-08-22,2026-08-22 01:53,2026-08-17 ~ 2026-08-23,cursor/click-power-name-ocr-419b,cursor/paddleocr-power-419b,https://github.com/larryliuxing/bigdaddyLIU/pull/23
24,feat: 拍卖税率改为按场次设置（0%–10%）,拍卖竞价,功能开发,待审,否,2026-08-26,2026-08-26 19:17,2026-08-24 ~ 2026-08-30,cursor/auction-session-tax-419b,cursor/click-power-name-ocr-419b,https://github.com/larryliuxing/bigdaddyLIU/pull/24
25,预约未开拍时先展示拍品，到点才能出价,拍卖竞价,功能开发,待审,否,2026-08-26,2026-08-26 19:44,2026-08-24 ~ 2026-08-30,cursor/auction-preview-waiting-419b,cursor/auction-session-tax-419b,https://github.com/larryliuxing/bigdaddyLIU/pull/25
26,紫/粉拍品最后一分钟出价加时,拍卖竞价,功能开发,待审,否,2026-08-26,2026-08-26 19:57,2026-08-24 ~ 2026-08-30,cursor/auction-quality-extend-419b,cursor/auction-preview-waiting-419b,https://github.com/larryliuxing/bigdaddyLIU/pull/26
27,后台可配置排行榜合格战力百分比,排行榜 / OCR,功能开发,待审,否,2026-08-26,2026-08-26 20:18,2026-08-24 ~ 2026-08-30,cursor/leaderboard-threshold-419b,cursor/auction-quality-extend-419b,https://github.com/larryliuxing/bigdaddyLIU/pull/27
28,加大排行榜点名识别范围,排行榜 / OCR,功能开发,待审,否,2026-08-26,2026-08-26 23:42,2026-08-24 ~ 2026-08-30,cursor/leaderboard-name-ocr-range-419b,cursor/leaderboard-threshold-419b,https://github.com/larryliuxing/bigdaddyLIU/pull/28
29,首页更新日志、拍卖动态可滚动、结束后结果上移,首页 / 品牌,功能开发,待审,否,2026-08-27,2026-08-27 00:46,2026-08-24 ~ 2026-08-30,cursor/home-changelog-auction-feed-419b,cursor/leaderboard-name-ocr-range-419b,https://github.com/larryliuxing/bigdaddyLIU/pull/29
30,点名识别框收回并加快，避免又大又卡,排行榜 / OCR,性能优化,待审,否,2026-08-27,2026-08-27 01:01,2026-08-24 ~ 2026-08-30,cursor/name-ocr-trim-speed-419b,cursor/home-changelog-auction-feed-419b,https://github.com/larryliuxing/bigdaddyLIU/pull/30
31,首页更新日志挪到排行榜下面,首页 / 品牌,功能开发,待审,否,2026-08-27,2026-08-27 20:45,2026-08-24 ~ 2026-08-30,cursor/changelog-below-leaderboard-419b,cursor/name-ocr-trim-speed-419b,https://github.com/larryliuxing/bigdaddyLIU/pull/31
32,点名识别支持洛丶洛，去掉左右图标干扰,排行榜 / OCR,功能开发,待审,否,2026-08-28,2026-08-28 00:09,2026-08-24 ~ 2026-08-30,cursor/name-ocr-dot-419b,cursor/changelog-below-leaderboard-419b,https://github.com/larryliuxing/bigdaddyLIU/pull/32
33,名字识别框为战力框两倍，并加强浅蓝识别,排行榜 / OCR,功能开发,待审,否,2026-08-28,2026-08-28 16:14,2026-08-24 ~ 2026-08-30,cursor/name-ocr-blue-range-419b,cursor/name-ocr-dot-419b,https://github.com/larryliuxing/bigdaddyLIU/pull/33
34,fix: 识别飞飞、抖音绵羊这类饱和青色角色名,排行榜 / OCR,缺陷修复,待审,否,2026-08-28,2026-08-28 16:38,2026-08-24 ~ 2026-08-30,cursor/name-ocr-cyan-hud-419b,cursor/name-ocr-blue-range-419b,https://github.com/larryliuxing/bigdaddyLIU/pull/34
